,SDP,RDP,Dead nodes,Average energy,Consumed Energy
0,4000,4000,0,1.0,0.0
1,4000,4000,0,0.9903881891,0.9611810899999966
2,4000,4000,0,0.9806144921699999,1.9385507830000108
3,4000,4000,0,0.9709755005400004,2.9024499459999618
4,4000,4000,0,0.9614643045100009,3.853569548999914
5,4000,4000,0,0.9517618583600007,4.823814163999927
6,4000,4000,0,0.9415946278400007,5.84053721599993
7,4000,4000,0,0.9318027686600006,6.819723133999943
8,4000,4000,0,0.92217239057,7.7827609429999995
9,4000,4000,0,0.9114831785100005,8.851682148999956
10,4000,4000,0,0.9017640967800005,9.823590321999959
11,4000,4000,0,0.8906619341800007,10.933806581999931
12,4000,4000,0,0.881152510350001,11.8847489649999
13,4000,4000,0,0.8715612465000008,12.84387534999992
14,4000,4000,0,0.8599721188300008,14.002788116999923
15,4000,4000,0,0.8499650018700002,15.003499812999976
16,4000,4000,0,0.8385455057500006,16.14544942499994
17,4000,4000,0,0.8287945879600006,17.120541203999935
18,4000,4000,0,0.8176967159600004,18.230328403999962
19,4000,4000,0,0.8066886830600005,19.33113169399995
20,4000,4000,0,0.7971520419800009,20.284795801999906
21,4000,4000,0,0.7874542473700012,21.25457526299988
22,4000,4000,0,0.7780617145100008,22.193828548999917
23,4000,4000,0,0.7684948674500006,23.150513254999936
24,4000,4000,0,0.7589600180400008,24.10399819599992
25,4000,4000,0,0.7487122287400011,25.12877712599989
26,4000,4000,0,0.7390973124400013,26.090268755999872
27,4000,4000,0,0.7284608666000012,27.153913339999875
28,4000,4000,0,0.7189431346600007,28.10568653399993
29,4000,4000,0,0.7083181347200009,29.168186527999907
30,4000,4000,0,0.698683426540001,30.131657345999898
31,4000,4000,0,0.6890835797900011,31.091642020999885
32,4000,4000,0,0.6790538301700014,32.09461698299985
33,4000,4000,0,0.6690026543300014,33.09973456699986
34,4000,4000,0,0.6592947264300019,34.07052735699982
35,4000,4000,0,0.6493965863200017,35.060341367999825
36,4000,4000,0,0.6388798758500019,36.11201241499981
37,4000,4000,0,0.6279532998500019,37.204670014999806
38,4000,4000,0,0.6183026531800018,38.16973468199983
39,4000,4000,0,0.6087607061200019,39.123929387999816
40,4000,4000,0,0.5986669679300022,40.13330320699978
41,4000,4000,0,0.5890630129100025,41.09369870899975
42,4000,4000,0,0.5792948350300022,42.07051649699978
43,4000,4000,0,0.569060452270002,43.0939547729998
44,4000,4000,0,0.5587937955300021,44.12062044699979
45,4000,4000,0,0.5488493732300022,45.115062676999784
46,4000,4000,0,0.5389277081100022,46.10722918899978
47,4000,4000,0,0.5291056727500026,47.08943272499974
48,4000,4000,0,0.5177198242000025,48.22801757999975
49,4000,4000,0,0.5059412030800023,49.405879691999765
50,4000,4000,0,0.4961382205600024,50.38617794399976
51,4000,4000,0,0.48674588590000284,51.32541140999972
52,4000,4000,0,0.4754213657200029,52.45786342799971
53,4000,4000,0,0.4653392532800031,53.46607467199969
54,4000,4000,0,0.4552293878700027,54.47706121299973
55,4000,4000,0,0.44484857402000316,55.515142597999684
56,4000,4000,0,0.43483767758000286,56.51623224199972
57,4000,4000,0,0.425201359750003,57.4798640249997
58,4000,4000,0,0.41500193595000323,58.499806404999674
59,4000,4000,0,0.40519176918000305,59.480823081999695
60,4000,4000,0,0.39520591582000336,60.479408417999664
61,4000,4000,0,0.3848287651300034,61.51712348699966
62,4000,4000,0,0.3751764626200035,62.48235373799965
63,4000,4000,0,0.36560180422000343,63.43981957799966
64,4000,4000,0,0.35619274644000354,64.38072535599964
65,4000,4000,0,0.34640343802000345,65.35965619799966
66,4000,4000,0,0.3366763064900035,66.33236935099964
67,4000,4000,0,0.32627898400000377,67.37210159999962
68,4000,4000,0,0.31616703165000387,68.38329683499961
69,4000,4000,0,0.30438471201000394,69.5615287989996
70,4000,4000,0,0.294529863840004,70.5470136159996
71,4000,4000,0,0.28472307569000427,71.52769243099958
72,4000,4000,0,0.2743518715100042,72.56481284899958
73,4000,4000,0,0.2642981401300042,73.57018598699958
74,4000,4000,0,0.2545251658800044,74.54748341199956
75,4000,4000,0,0.24422615641000445,75.57738435899955
76,4000,4000,0,0.2333573259600043,76.66426740399957
77,4000,4000,0,0.22335365179000427,77.66463482099957
78,4000,4000,0,0.21366227121000436,78.63377287899957
79,4000,4000,0,0.20237566424000444,79.76243357599955
80,4000,4000,0,0.19214165986000442,80.78583401399956
81,4000,4000,0,0.18247956928000442,81.75204307199957
82,4000,4000,0,0.1729328815600044,82.70671184399956
83,4000,4000,0,0.16302157813000442,83.69784218699957
84,4000,4000,0,0.1530668817300044,84.69331182699956
85,3983,3983,1,0.1448643881313175,85.65842557499957
86,3930,3930,2,0.1364259204489838,86.63025979599959
87,3920,3920,2,0.126735880979596,87.5798836639996
88,3918,3918,4,0.11743564080208745,88.7261784829996
89,3840,3840,4,0.10750000385417076,89.6799996299996
90,3804,3804,5,0.09811869049474069,90.67872440299963
91,3762,3762,6,0.08924969618085501,91.61052855899963
92,3722,3722,8,0.08073717697826457,92.57217971799966
93,3620,3598,13,0.07504265055172799,93.47128940199967
94,3432,3432,16,0.067568493452385,94.32424654999966
95,3247,3247,21,0.060258574430383405,95.2395726199997
96,3084,3084,25,0.05230590853333677,96.07705685999974
97,2782,2782,35,0.048275041969233046,96.86212227199985
98,2479,2409,42,0.04366198368965777,97.46760494599985
99,2210,1968,47,0.036757127830191576,98.05187222499984
100,1951,1692,56,0.03381845902272929,98.51198780299991
